country,lifetime_physical_or_sexual_intimate_partner_violence,lastyear_physical_or_sexual_intimate_partner_violence,lifetime_non_partner_sexual_violence,child_marriage,female_genital_mutilation,reports
Azerbaijan,0.135,0.098,,0.11,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/azerbaijan/azerbaijan%20srvaw.pdf?vs=3212'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/azerbaijan/azerbaijan%20cedaw%20co.pdf?vs=3156'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/azerbaijan/azerbaijan%20upr%20wg%20report.pdf?vs=3224'}]"
Bahamas,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/bahamas/bahamas%20cedaw%20co.pdf?vs=304'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/bahamas/bahamas%20upr%20wg%20report.pdf?vs=317'}]"
Bahrain,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/bahrain/bahrain%20cedaw%20co.pdf?vs=3254'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/bahrain/bahrain%20upr%20wg%20report.pdf?vs=3306'}]"
Bangladesh,0.542,0.269,0.03,0.514,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/bangladesh/bangladesh%20srvaw.pdf?vs=3413'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/bangladesh/bangladesh%20cedaw%20co.pdf?vs=3332'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/bangladesh/bangladesh%20upr%20wg%20report.pdf?vs=3400'}]"
Barbados,,,,0.292,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/barbados/barbados%20cedaw%20co.pdf?vs=341'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/barbados/barbados%20upr%20wg%20report.pdf?vs=407'}]"
Belarus,,,,0.05,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/belarus/belarus%20cedaw%20co.pdf?vs=4353'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/belarus/belarus%20upr%20wg%20report.pdf?vs=4420'}]"
Belgium,0.24,0.06,0.08,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/belgium/belgium%20cedaw%20co.pdf?vs=4516'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/belgium/belgium%20upr%20wg%20report.pdf?vs=4533'}]"
Belize,0.222,,,0.335,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/belize/belize%20cedaw%20co.pdf?vs=502'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/belize/belize%20upr%20wg%20report.pdf?vs=613'}]"
Benin,0.238,0.139,,0.306,0.092,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/benin/benin%20cedaw%20co.pdf?vs=342'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/benin/benin%20upr%20wg%20report.pdf?vs=417'}]"
Bhutan,0.151,0.061,0.058,0.258,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/bhutan/bhutan%20cedaw%20co.pdf?vs=3447'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/bhutan/bhutan%20upr%20wg%20report.pdf?vs=3505'}]"
Bolivia (Plurinational State of),0.585,0.271,,0.196,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/bolivia%20plurinational%20state%20of/bolivia%20cedaw%20co.pdf?vs=749'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/bolivia%20plurinational%20state%20of/bolivia%20upr%20wg%20report.pdf?vs=703'}]"
Bosnia and Herzegovina,0.11,0.034,0.01,0.035,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/bosnia%20and%20herzegovina/bosnia%20and%20herzegovina%20srvaw.pdf?vs=4614'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/bosnia%20and%20herzegovina/bosnia%20and%20herzegovina%20cedaw%20co.pdf?vs=4824'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/bosnia%20and%20herzegovina/bosnia%20and%20herzegovina%20upr%20wg%20report.pdf?vs=4700'}]"
Botswana,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/botswana/botswana%20cedaw%20co.pdf?vs=450'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/botswana/botswana%20upr%20wg%20report.pdf?vs=618'}]"
Brazil,0.167,0.031,,0.262,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/brazil/brazi%20srvaw.pdf?vs=839'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/brazil/brazil%20cedaw%20co.pdf?vs=4645'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/brazil/brazil%20upr%20wg%20report.pdf?vs=911'}]"
Brunei Darussalam,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/brunei%20darussalam/brunei%20darussalam%20cedaw%20co.pdf?vs=3550'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/brunei%20darussalam/brunei%20darussalam%20upr%20wg%20report.pdf?vs=3609'}]"
Bulgaria,0.23,0.06,0.06,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/bulgaria/bulgaria%20cedaw%20co.pdf?vs=5021'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/bulgaria/bulgaria%20upr%20wg%20report.pdf?vs=4912'}]"
Burkina Faso,0.115,0.093,,0.516,0.758,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/burkina%20faso/burkina%20faso%20cedaw%20co.pdf?vs=701'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/burkina%20faso/burkina%20faso%20upr%20wg%20report.pdf?vs=733'}]"
Burundi,0.485,0.279,,0.19,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/burundi/burundi%20cedaw%20co.pdf?vs=920'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/burundi/burundi%20upr%20wg%20report.pdf?vs=1014'}]"
Cabo Verde,0.126,0.078,,0.18,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/cabo%20verde/cabo%20verde%20cedaw%20co.pdf?vs=1323'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/cabo%20verde/cabo%20verde%20upr%20wg%20report.pdf?vs=1352'}]"
Cambodia,0.209,0.077,0.038,0.185,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/cambodia/cambodia%20cedaw%20co.pdf?vs=3642'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/cambodia/cambodia%20upr%20wg%20report.pdf?vs=3701'}]"
Cameroon,0.373,0.215,,0.298,0.014,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/cameroon/cameroon%20concluding%20observations%20of%20the%20committee%20on%20the%20elimination%20of%20discrimination%20against%20women%20cedaw.pdf?vs=3525'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/cameroon/cameroon%20report%20of%20the%20working%20group%20on%20the%20universal%20periodic%20review%20upr.pdf?vs=3511'}]"
Canada,,0.011,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/canada/canada%20cedaw%20co.pdf?vs=944'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/canada/canada%20upr%20wg%20report.pdf?vs=955'}]"
Central African Republic,0.298,0.263,,0.61,0.216,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/car/car%20cedaw%20co.pdf?vs=1449'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/car/car%20upr%20wg%20report.pdf?vs=1507'}]"
Chad,0.286,0.175,,0.606,0.341,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/chad/chad%20cedaw%20co.pdf?vs=1637'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/chad/chad%20upr%20wg%20report.pdf?vs=1706'}]"
Chile,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/chile/chile%20cedaw%20co.pdf?vs=1025'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/chile/chile%20upr%20wg%20report.pdf?vs=1046'}]"
China,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/china/china%20cedaw%20co.pdf?vs=3747'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/china/china%20upr%20wg%20report.pdf?vs=1150'}]"
Colombia,0.333,0.183,,0.234,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/colombia/colombia%20srvaw.pdf?vs=1131'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/colombia/columbia%20cedaw%20co.pdf?vs=1203'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/colombia/colombia%20upr%20wg%20report.pdf?vs=1150'}]"
Comoros,0.064,0.049,0.015,0.316,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/comoros/comoros%20cedaw%20co.pdf?vs=1810'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/comoros/comoros%20upr%20wg%20report.pdf?vs=1840'}]"
Congo,,,,0.273,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/congo/congo%20cedaw%20co.pdf?vs=2149'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/congo/congo%20upr%20wg%20report.pdf?vs=2205'}]"
Costa Rica,0.359,0.078,,0.212,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/costa%20rica/costa%20rica%20cedaw%20co.pdf?vs=1301'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/costa%20rica/costa%20rica%20upr%20wg%20report.pdf?vs=1334'}]"
Côte D’Ivoire,0.259,0.22,,0.27,0.367,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/cote%20divoire/cote%20divoire%20cedaw%20co.pdf?vs=3721'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/cote%20divoire/cte%20divoire%20upr%20wg%20report.pdf?vs=3730'}]"
Croatia,0.13,0.03,0.03,,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/croatia/croatia%20srvaw.pdf?vs=5131'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/croatia/croatia%20cedaw%20co.pdf?vs=5105'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/croatia/croatia%20upr%20wg%20report.pdf?vs=5211'}]"
Cuba,,,,0.294,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/cuba/cuba%20srvaw.pdf?vs=4835'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/cuba/cuba%20cedaw%20co.pdf?vs=4809'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/cuba/cuba%20upr%20wg%20report.pdf?vs=5351'}]"
Cyprus,0.15,0.03,0.02,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/cyprus/cyprus%20cedaw%20co.pdf?vs=3841'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/cyprus/cyprus%20upr%20wg%20report.pdf?vs=3906'}]"
Czech Republic,0.21,0.04,0.04,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/czech%20republic/czech%20rupublic%20cedaw%20co.pdf?vs=5348'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/czech%20republic/czech%20republic%20upr%20wg%20report.pdf?vs=5312'}]"
Democratic People’s Republic of Korea,,,,0.001,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/democratic%20peoples%20republic%20of%20korea/democratic%20peoples%20republic%20of%20korea%20srvaw.pdf?vs=4013'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/democratic%20peoples%20republic%20of%20korea/dprk%20cedaw%20co.pdf?vs=1318'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/democratic%20peoples%20republic%20of%20korea/democratic%20peoples%20republic%20of%20korea%20upr%20wg%20report.pdf?vs=3937'}]"
Democratic Republic of the Congo,0.507,0.368,,0.291,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/democratic%20republic%20of%20the%20congo/democratic%20republic%20of%20congo%20srvaw.pdf?vs=3759'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/democratic%20republic%20of%20the%20congo/democratic%20republic%20of%20the%20congo%20cedaw%20co.pdf?vs=3812'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/democratic%20republic%20of%20the%20congo/democratic%20republic%20of%20the%20congo%20upr%20wg%20report.pdf?vs=3841'}]"
