country_id,conflict_type,conflict_casualties,conflict_description
100,Terrorist Insurgency,0 to 999,"Ghana is currently facing a terrorist insurgency in its northern regions, specifically the Upper East, Upper West, and Northern regions. The conflict is being fueled by extremist groups, such as the Islamic State in the Greater Sahara (ISGS) and al-Qaeda in the Islamic Maghreb (AQIM), who are targeting security forces, civilians, and infrastructure. The Ghanaian government has taken measures to address the conflict, including increasing security presence in affected areas and engaging in dialogue with community leaders. However, the conflict remains a significant challenge for the country and the region."
162,Terrorist Insurgency,"1,000 to 10,000","Iraq has been facing a long-standing conflict with various armed groups and insurgent organizations since the fall of Saddam Hussein's regime in 2003. The conflict has been characterized by sectarian violence, political instability, and terrorism, which have resulted in significant loss of life and damage to infrastructure. The primary actors in the conflict have been the Iraqi government, various Sunni and Shia militias, and terrorist organizations such as ISIS. While the conflict has subsided in recent years, sporadic violence and terrorist attacks continue to occur, and political tensions and divisions persist. The conflict in Iraq has had significant regional and global implications, including the rise of ISIS and the involvement of various foreign powers in the country's affairs."
123,Terrorist Insurgency,0 to 999,"Ivory Coast has been facing a terrorist insurgency in its northern regions, specifically near the border with Burkina Faso. The conflict is being fueled by extremist groups such as al-Qaeda and the Islamic State in the Greater Sahara (ISGS), who have carried out attacks against security forces, civilians, and infrastructure. The government has responded by increasing security presence in affected areas and launching counter-terrorism operations, but the conflict remains a challenge. The conflict in Ivory Coast is part of a broader pattern of terrorist activity in the Sahel region and is a concern for the country and the wider region."
164,Civil War,0 to 999,"Since the 2011 overthrow of Muammar Gaddafi, Libya has been mired in a civil war between various militias and political factions vying for control of the country. The conflict has been characterized by violence, political instability, and the involvement of foreign actors. The main parties to the conflict are the UN-recognized Government of National Accord (GNA) and the Libyan National Army (LNA) led by General Khalifa Haftar, which is supported by various foreign countries. The conflict has led to significant loss of life, displacement, and damage to infrastructure, and has had regional and global implications. Despite numerous international efforts to resolve the conflict, it continues to simmer, with occasional flare-ups and violence."
141,Civil War,"1,000 to 10,000","Mali has been experiencing a civil war since 2012, when various armed groups, including Tuareg separatists and Islamic extremists, took advantage of a power vacuum in the north of the country to launch a rebellion. The conflict has been marked by violence, displacement, and human rights abuses, and has spilled over into neighboring countries in the region. France intervened militarily in 2013 to support the Malian government to then decide to withdraw its troops in 2022, and the conflict has since been characterized by a combination of military action, peace negotiations, and humanitarian aid efforts. Despite some progress, the situation remains fragile, with continued violence and insecurity, especially in the northern and central regions of the country. The conflict in Mali is part of a wider pattern of instability and violence in the Sahel region, which is a concern for the region and the international community."
167,Terrorist Insurgency,0 to 999,"Mauritania has faced periodic terrorist insurgencies in recent years, with various Islamist extremist groups operating in the country and the wider region. These groups have carried out attacks on military and civilian targets, including foreign tourists and aid workers, and have caused significant displacement and human suffering. The Mauritanian government has responded with military action and cooperation with regional and international partners, but the situation remains fragile. Mauritania has also been criticized for its treatment of minority groups, including black Mauritanians and Haratines, who have faced discrimination, forced displacement, and slavery-like practices. This has fueled tensions and contributed to social and political instability in the country. Despite some progress in recent years, including legislative reforms and economic development initiatives, Mauritania faces significant challenges in ensuring stability, security, and human rights for all its citizens."
33,Drug War,"1,000 to 10,000","Mexico has been engaged in a drug war for several decades, with various drug cartels and criminal organizations vying for power and control of the lucrative drug trade. This conflict has resulted in widespread violence, corruption, and human rights abuses, with tens of thousands of people killed or disappeared. The Mexican government has launched several initiatives to combat the drug trade and improve security, including military interventions, law enforcement operations, and social programs aimed at addressing the root causes of crime and violence. However, these efforts have been criticized for their limited effectiveness, as well as allegations of human rights violations by security forces. The drug war remains a major challenge for Mexico, with no clear end in sight. Additionally, Mexico also faces other forms of violence and insecurity, including organized crime, political violence, and human rights abuses against marginalized communities."
26,Terrorist Insurgency,0 to 999,"Mozambique has been facing a growing terrorist insurgency in the northern province of Cabo Delgado since 2017. The conflict is primarily driven by a local Islamist extremist group known as Ansar al-Sunna, which has been carrying out attacks against civilians and government forces, as well as seizing and occupying territory in the region. The conflict has resulted in a significant humanitarian crisis, with hundreds of thousands of people displaced and in need of assistance. The Mozambican government has struggled to contain the insurgency, with limited resources and expertise, and has sought international assistance from neighboring countries and international partners. However, progress in resolving the conflict remains slow, with continued violence and displacement of civilians."
122,Civil War,"10,000+","Myanmar, also known as Burma, has been facing a long-standing civil war between the central government and various ethnic minority groups seeking greater autonomy or independence. The conflict has escalated since the military coup in February 2021, which ousted the democratically elected government led by Aung San Suu Kyi. The military junta has faced widespread protests and resistance from the public and various ethnic groups, resulting in a violent crackdown and human rights abuses. The conflict has led to a significant humanitarian crisis, with thousands of people displaced and in need of assistance. The international community has condemned the military coup and has called for an end to the violence and the restoration of democracy in Myanmar, but the situation remains unstable and unpredictable."
135,Terrorist Insurgency,0 to 999,"Niger has been grappling with a growing threat from terrorist groups, including Boko Haram and the Islamic State in the Greater Sahara (ISGS), operating in the Sahel region. The country has also been facing inter-communal violence and attacks from armed groups along its border with Mali and Burkina Faso. The conflict has led to a significant humanitarian crisis, with hundreds of thousands of people displaced and in need of assistance. The government has been working with regional and international partners, including France and the United States, to combat the threat and stabilize the country. However, the situation remains challenging, and the conflict continues to pose a significant security risk to Niger and the wider Sahel region."
130,Terrorist Insurgency,"1,000 to 10,000","Nigeria has been facing a long-standing conflict with the Boko Haram extremist group, which has been waging a violent insurgency in the country's northeast since 2009. The group seeks to establish an Islamic state and has carried out numerous attacks, including suicide bombings, mass abductions, and targeted killings of civilians and security forces. The conflict has resulted in a humanitarian crisis, with millions of people displaced and in need of assistance. In addition, Nigeria has also been dealing with inter-communal violence, particularly between farmers and herders, and separatist movements in the southeast and southwest regions of the country. The government has been working to address these challenges, but the conflict remains a significant security threat to Nigeria and the wider West African region."
173,War,"10,000+","Russia has been involved in several conflicts in recent years, including its annexation of Crimea in 2014, which sparked a conflict with Ukraine that is still ongoing. Russia has also been supporting separatist rebels in eastern Ukraine and has been accused of providing military assistance to the Syrian government in its civil war. In addition, Russia has been involved in the conflict in Nagorno-Karabakh, a disputed territory between Azerbaijan and Armenia. The conflict has flared up several times in recent years, with Russia playing a key role in brokering a ceasefire agreement in 2020. Russia has also been involved in the conflict in Libya, where it has supported the Libyan National Army led by General Khalifa Haftar. The conflict has been ongoing since the ousting of former leader Muammar Gaddafi in 2011 and has resulted in a complex web of factions vying for power and influence in the country."
182,Civil War,"1,000 to 10,000","The conflict in Somalia is a civil war that began in 1991, following the collapse of the country's central government. The conflict involves various factions competing for power and control, including the Transitional Federal Government (TFG), the Islamic Courts Union (ICU), and the Al-Shabaab militant group. The conflict has led to widespread violence, displacement, and humanitarian crises, and continues to this day. The African Union and United Nations have deployed peacekeeping forces to Somalia to support the TFG and combat Al-Shabaab, but the conflict remains a significant challenge for the country and the international community."
183,Ethnic Violence,"1,000 to 10,000","The conflict in South Sudan began in 2013 as a result of a power struggle between the country's president, Salva Kiir, and his former vice president, Riek Machar. The conflict quickly escalated into an ethnic and political conflict, pitting Kiir's Dinka ethnic group against Machar's Nuer ethnic group. The conflict has led to widespread violence, displacement, and humanitarian crises, with an estimated 400,000 people killed and over 4 million displaced. The conflict has also had significant regional and international implications, with neighboring countries and the international community playing roles in the conflict's resolution. Despite several peace agreements, the conflict remains unresolved, and South Sudan remains one of the world's most fragile states."
184,Terrorist Insurgency,"1,000 to 10,000","Sudan is currently facing a conflict in the Darfur region, which has been ongoing since 2003 and has resulted in the displacement of over 2 million people and an estimated death toll of up to 300,000. The conflict began when rebel groups launched an attack on government forces, citing discrimination and marginalization of the region's non-Arab population. In response, the government mobilized militias known as the Janjaweed to target the rebels and civilians suspected of supporting them. The Janjaweed have been accused of committing war crimes, including rape, torture, and murder. In 2019, protests broke out across the country, resulting in the overthrow of President Omar al-Bashir, who had been in power for three decades. The transitional government that took over has been working towards peace negotiations with rebel groups, but progress has been slow and violence continues in some areas."
185,Civil War,"1,000 to 10,000","The conflict in Syria began in 2011 with peaceful protests that escalated into a civil war that has claimed hundreds of thousands of lives and displaced millions of people. The war involves various factions, including the Syrian government, rebel groups, and jihadist groups such as ISIS and al-Qaeda. The conflict has been marked by the use of chemical weapons, bombings, and other atrocities, and has drawn involvement from regional and international powers, including Russia, Iran, and the United States. The war has had devastating humanitarian consequences, with widespread destruction of infrastructure and access to basic necessities like food, water, and medical care."
48,Terrorist Insurgency,0 to 999,"Tanzania has been relatively stable in terms of internal conflicts, but it has experienced some incidents of terrorist insurgency in recent years. The most notable of these incidents took place in November 2020 when gunmen carried out an attack on a village in the Mtwara region, killing 22 people. The group responsible for the attack has been linked to Islamic extremism and is believed to have ties to the Somali-based terrorist group Al-Shabaab."
90,Terrorist Insurgency,0 to 999,"Togo is currently experiencing a low-level terrorist insurgency, mainly in the northern regions near the border with Burkina Faso. The insurgency is attributed to jihadist groups such as Al-Qaeda in the Islamic Maghreb (AQIM) and the Islamic State in the Greater Sahara (ISGS), which have been responsible for a series of attacks on Togolese security forces and civilians. The government has responded by increasing security measures and launching joint military operations with neighboring countries to counter the insurgency. Despite these efforts, the security situation in Togo remains fragile, and the risk of further attacks remains high."
128,Terrorist Insurgency,0 to 999,"Tunisia is currently facing a terrorist insurgency that has been ongoing since the 2011 Arab Spring protests, and the government has been working to combat the threat posed by extremist groups through increased security measures and cooperation with international partners. However, there have been periodic attacks, particularly in the border regions with Algeria and Libya, leading to concerns about the spread of violence in the region. Despite these challenges, Tunisia has made progress in consolidating its democracy and promoting economic development, with support from the international community."
78,Terrorist Insurgency,0 to 999,"Uganda is currently facing terrorist insurgency conflicts with several different rebel groups, including the Allied Democratic Forces (ADF) and the Lord's Resistance Army (LRA). The ADF, which is based in the neighboring Democratic Republic of Congo, has been active in Uganda since the 1990s and is responsible for several deadly attacks on civilians. The LRA, on the other hand, is a Ugandan rebel group that has been active since the 1980s and is known for its brutal tactics, including abducting children to use as soldiers and sex slaves. While the conflict in Uganda is not as widespread or intense as in some other African countries, it continues to pose a threat to the safety and security of Ugandan citizens."
66,War,"10,000+","The ongoing conflict in Ukraine began in 2014 following the Ukrainian Revolution and Russia's annexation of Crimea. The conflict escalated into a full-scale war between Ukrainian forces and Russian-backed separatists in the Donbass region of Eastern Ukraine. The war resulted in tens of thousands of deaths, displacement of millions of people, and extensive damage to infrastructure. Despite several original ceasefires and peace agreements, the conflict escalated in 2022 into a full-blown war between Russia and Ukraine. The conflict has led to the escalation of tensions between Russia and the West, with Western countries imposing economic sanctions on Russia for its involvement in the conflict and providing weapons to Ukraine in its fight against Russia."
192,Civil War,"1,000 to 10,000","Yemen is currently facing a complex and multi-faceted conflict, involving multiple parties including the government, Houthi rebels, and various other armed groups. The conflict began in 2014 when the Houthis seized control of the capital city of Sana'a, and has since escalated into a full-blown civil war, exacerbated by regional and international rivalries. The humanitarian situation in Yemen is dire, with millions of people facing famine, disease, and displacement as a result of the conflict."
